nt,t (s),enstrophy (m^3/s^2)
606,15.508892562710086,460.3384466367408
607,15.534484794661752,460.6266617191327
608,15.560077026613419,460.93929852433143
609,15.585669258565085,461.35739301621845
610,15.611261490516751,461.7845283617632
611,15.636853722468418,462.06901249792634
612,15.662445954420084,462.5349657422317
613,15.68803818637175,462.8591368174963
614,15.713630418323417,463.2676378622476
615,15.739222650275083,463.61121531903257
616,15.76481488222675,463.9646812006138
617,15.790407114178416,464.3249601188953
618,15.815999346130083,464.72639002884534
619,15.841591578081749,465.1779337129978
620,15.867183810033415,465.5937737022065
621,15.892776041985082,466.01754162636314
622,15.918368273936748,466.440249745909
623,15.943960505888414,467.2147384662837
624,15.96955273784008,467.7587156893741
625,15.995144969791747,468.39519648053397
626,16.020737201743415,469.0228058664215
627,16.04632943369508,469.6014930968251
628,16.071921665646748,470.2487299747511
629,16.097513897598414,470.87025602494583
630,16.12310612955008,471.46838572956625
631,16.148698361501747,472.0360425533173
632,16.174290593453414,472.36847218540805
633,16.19988282540508,472.8637040405547
634,16.225475057356746,473.378109502501
635,16.251067289308413,473.94484073302544
636,16.27665952126008,474.43756248830016
637,16.302251753211745,474.91590871170183
638,16.327843985163412,475.3676397985502
639,16.353436217115078,475.7896621406757
640,16.379028449066745,476.2225090361339
641,16.40462068101841,476.5043959062855
642,16.430212912970077,476.90684891585846
643,16.455805144921744,477.2962502009175
644,16.48139737687341,477.6191943483304
645,16.506989608825076,478.1088608714033
646,16.532581840776743,478.34325620844265
647,16.55817407272841,478.7004103005165
648,16.583766304680076,479.05726143401677
649,16.609358536631742,479.4083781566047
650,16.63495076858341,479.7760381066225
651,16.660543000535075,479.9690683215794
652,16.68613523248674,480.633723973147
653,16.711727464438408,481.02269708133747
654,16.737319696390074,481.39288665688895
655,16.76291192834174,481.7538852685976
656,16.788504160293407,482.13483202101753
657,16.814096392245073,482.4801416016041
658,16.83968862419674,482.80527784349897
659,16.865280856148406,483.1356318872754
660,16.890873088100072,483.475403156721
661,16.91646532005174,483.7977628332328
662,16.942057552003405,484.10295604040505
